Année,Rendement (%),Volatilité (%),Sharpe Ratio,Alpha (%),Beta,Tracking Error (%),Max Drawdown (%)
2019,14.67,12.14,1.02,4.99,1.03,6.66,-6.23
2020,0.44,7.26,-0.06,-15.58,0.75,4.06,-0.99
2021,26.58,10.69,2.48,4.83,0.93,4.79,-4.85
2022,0.63,18.48,-0.06,9.73,0.96,5.04,-14.92
2023,18.1,10.01,1.36,7.97,0.9,4.36,-6.14
2024,23.46,8.78,2.14,8.31,0.91,3.9,-4.14
