Année,Rendement (%),Volatilité (%),Sharpe Ratio,Alpha (%),Beta,Tracking Error (%),Max Drawdown (%)
2019,23.33,15.72,1.34,8.98,0.97,10.15,-11.73
2020,1.93,7.76,0.13,20.41,0.17,11.01,-1.01
2021,9.27,16.54,0.55,13.41,0.86,6.61,-8.69
2022,-26.62,31.31,-0.91,-7.57,1.08,16.01,-32.99
2023,80.26,19.1,3.97,51.2,0.91,14.74,-9.28
2024,36.32,22.65,1.4,54.63,1.02,9.0,-9.71
